DATE,annual_consumer_price_index
1984-01-01,104.300
1985-01-01,107.100
1986-01-01,107.900
1987-01-01,110.800
1988-01-01,113.700
1989-01-01,115.800
1990-01-01,120.900
1991-01-01,125.600
1992-01-01,130.300
1993-01-01,135.800
1994-01-01,141.800
1995-01-01,147.900
1996-01-01,153.100
1997-01-01,158.100
1998-01-01,161.900
1999-01-01,166.600
2000-01-01,173.200
2001-01-01,181.300
2002-01-01,184.800
2003-01-01,186.800
2004-01-01,187.000
2005-01-01,190.900
2006-01-01,197.700
2007-01-01,202.029
2008-01-01,209.903
2009-01-01,208.548
2010-01-01,212.447
2011-01-01,220.288
2012-01-01,224.568
2013-01-01,230.791
2014-01-01,237.200
2015-01-01,239.990
2016-01-01,246.643
2017-01-01,254.995
2018-01-01,261.958
2019-01-01,266.999
2020-01-01,272.207
2021-01-01,281.845
2022-01-01,304.424
2023-01-01,320.300
