DATE,monthly_median_price_per_square_foot
2016-07-01,169.0
2016-08-01,170.0
2016-09-01,171.0
2016-10-01,171.0
2016-11-01,173.0
2016-12-01,175.0
2017-01-01,180.0
2017-02-01,182.0
2017-03-01,184.0
2017-04-01,207.0
2017-05-01,209.0
2017-06-01,184.0
2017-07-01,185.0
2017-08-01,185.0
2017-09-01,187.0
2017-10-01,189.0
2017-11-01,191.0
2017-12-01,194.0
2018-01-01,196.0
2018-02-01,197.0
2018-03-01,200.0
2018-04-01,201.0
2018-05-01,200.0
2018-06-01,199.0
2018-07-01,198.0
2018-08-01,198.0
2018-09-01,199.0
2018-10-01,200.0
2018-11-01,200.0
2018-12-01,202.0
2019-01-01,205.0
2019-02-01,208.0
2019-03-01,210.0
2019-04-01,210.0
2019-05-01,210.0
2019-06-01,208.0
2019-07-01,207.0
2019-08-01,207.0
2019-09-01,209.0
2019-10-01,211.0
2019-11-01,214.0
2019-12-01,220.0
2020-01-01,219.0
2020-02-01,215.0
2020-03-01,219.0
2020-04-01,217.0
2020-05-01,219.0
2020-06-01,230.0
2020-07-01,234.0
2020-08-01,240.0
2020-09-01,249.0
2020-10-01,258.0
2020-11-01,269.0
2020-12-01,278.0
2021-01-01,278.0
2021-02-01,277.0
2021-03-01,276.0
2021-04-01,277.0
2021-05-01,278.0
2021-06-01,273.0
2021-07-01,272.0
2021-08-01,276.0
2021-09-01,280.0
2021-10-01,280.0
2021-11-01,286.0
2021-12-01,295.0
2022-01-01,307.0
2022-02-01,301.0
2022-03-01,301.0
2022-04-01,299.0
2022-05-01,293.0
2022-06-01,290.0
2022-07-01,286.0
2022-08-01,282.0
2022-09-01,284.0
2022-10-01,282.0
2022-11-01,281.0
2022-12-01,281.0
2023-01-01,284.0
2023-02-01,291.0
2023-03-01,301.0
2023-04-01,300.0
2023-05-01,303.0
2023-06-01,301.0
2023-07-01,298.0
2023-08-01,296.0
2023-09-01,299.0
2023-10-01,298.0
2023-11-01,298.0
2023-12-01,299.0
2024-01-01,302.0
2024-02-01,310.0
2024-03-01,309.0
2024-04-01,306.0
2024-05-01,308.0
2024-06-01,305.0
2024-07-01,303.0
2024-08-01,300.0
2024-09-01,300.0
2024-10-01,297.0
