DATE,monthly_wage_levels_for_private_sector
2007-01-01,23.58
2007-02-01,24.01
2007-03-01,23.90
2007-04-01,23.93
2007-05-01,23.26
2007-06-01,23.45
2007-07-01,23.93
2007-08-01,23.77
2007-09-01,24.13
2007-10-01,23.92
2007-11-01,24.28
2007-12-01,24.91
2008-01-01,24.49
2008-02-01,24.98
2008-03-01,25.18
2008-04-01,25.06
2008-05-01,24.67
2008-06-01,24.54
2008-07-01,24.79
2008-08-01,24.83
2008-09-01,24.99
2008-10-01,24.88
2008-11-01,25.18
2008-12-01,25.23
2009-01-01,25.00
2009-02-01,25.26
2009-03-01,25.40
2009-04-01,25.16
2009-05-01,24.98
2009-06-01,24.89
2009-07-01,24.96
2009-08-01,24.97
2009-09-01,24.78
2009-10-01,25.00
2009-11-01,25.07
2009-12-01,25.29
2010-01-01,25.18
2010-02-01,25.25
2010-03-01,25.27
2010-04-01,25.35
2010-05-01,25.70
2010-06-01,25.32
2010-07-01,25.39
2010-08-01,25.34
2010-09-01,25.22
2010-10-01,25.46
2010-11-01,25.43
2010-12-01,25.69
2011-01-01,25.81
2011-02-01,25.80
2011-03-01,25.45
2011-04-01,25.73
2011-05-01,25.72
2011-06-01,25.26
2011-07-01,25.66
2011-08-01,25.49
2011-09-01,25.82
2011-10-01,26.50
2011-11-01,26.22
2011-12-01,26.28
2012-01-01,26.80
2012-02-01,25.96
2012-03-01,26.24
2012-04-01,26.99
2012-05-01,26.37
2012-06-01,26.39
2012-07-01,26.69
2012-08-01,26.39
2012-09-01,26.72
2012-10-01,26.30
2012-11-01,26.42
2012-12-01,27.10
2013-01-01,27.03
2013-02-01,27.19
2013-03-01,27.18
2013-04-01,27.19
2013-05-01,27.21
2013-06-01,27.42
2013-07-01,27.28
2013-08-01,27.22
2013-09-01,28.07
2013-10-01,27.56
2013-11-01,27.78
2013-12-01,28.19
2014-01-01,28.03
2014-02-01,28.09
2014-03-01,28.31
2014-04-01,28.09
2014-05-01,27.82
2014-06-01,28.13
2014-07-01,27.99
2014-08-01,27.76
2014-09-01,27.99
2014-10-01,28.03
2014-11-01,28.35
2014-12-01,28.03
2015-01-01,28.35
2015-02-01,28.36
2015-03-01,28.50
2015-04-01,28.46
2015-05-01,28.33
2015-06-01,28.26
2015-07-01,27.55
2015-08-01,27.77
2015-09-01,27.66
2015-10-01,27.93
2015-11-01,28.26
2015-12-01,28.31
2016-01-01,28.98
2016-02-01,29.51
2016-03-01,29.42
2016-04-01,29.41
2016-05-01,29.37
2016-06-01,28.94
2016-07-01,28.71
2016-08-01,28.38
2016-09-01,28.49
2016-10-01,28.93
2016-11-01,28.82
2016-12-01,28.75
2017-01-01,28.56
2017-02-01,28.76
2017-03-01,28.62
2017-04-01,29.04
2017-05-01,28.48
2017-06-01,28.15
2017-07-01,28.72
2017-08-01,28.49
2017-09-01,28.90
2017-10-01,28.87
2017-11-01,29.29
2017-12-01,29.56
2018-01-01,29.76
2018-02-01,30.05
2018-03-01,30.02
2018-04-01,30.43
2018-05-01,29.56
2018-06-01,29.81
2018-07-01,30.07
2018-08-01,30.19
2018-09-01,30.75
2018-10-01,30.77
2018-11-01,31.17
2018-12-01,31.55
2019-01-01,31.93
2019-02-01,31.64
2019-03-01,32.33
2019-04-01,32.51
2019-05-01,32.31
2019-06-01,32.27
2019-07-01,32.28
2019-08-01,31.94
2019-09-01,32.78
2019-10-01,32.44
2019-11-01,32.58
2019-12-01,33.12
2020-01-01,32.83
2020-02-01,33.25
2020-03-01,33.37
2020-04-01,34.16
2020-05-01,33.71
2020-06-01,32.46
2020-07-01,32.91
2020-08-01,32.83
2020-09-01,33.30
2020-10-01,33.19
2020-11-01,33.40
2020-12-01,33.36
2021-01-01,33.37
2021-02-01,33.30
2021-03-01,33.94
2021-04-01,33.93
2021-05-01,34.34
2021-06-01,34.35
2021-07-01,34.70
2021-08-01,34.81
2021-09-01,35.22
2021-10-01,35.36
2021-11-01,35.57
2021-12-01,35.76
2022-01-01,36.60
2022-02-01,36.10
2022-03-01,35.97
2022-04-01,36.51
2022-05-01,36.92
2022-06-01,36.61
2022-07-01,37.23
2022-08-01,36.66
2022-09-01,36.95
2022-10-01,37.84
2022-11-01,37.91
2022-12-01,37.89
2023-01-01,39.12
2023-02-01,38.05
2023-03-01,36.25
2023-04-01,36.88
2023-05-01,36.89
2023-06-01,37.01
2023-07-01,37.90
2023-08-01,37.51
2023-09-01,38.19
2023-10-01,38.87
2023-11-01,39.73
2023-12-01,39.84
2024-01-01,40.51
2024-02-01,40.72
2024-03-01,40.56
2024-04-01,40.23
2024-05-01,40.55
2024-06-01,40.74
2024-07-01,39.64
2024-08-01,39.74
2024-09-01,40.94
2024-10-01,40.45
