,Year,average_aqi,average_aqi_scaled
0,1978,55.6015037593985,0.395016327618413
1,1979,67.34239130434783,0.6668849423880076
2,1980,49.01092896174863,0.24240687335758515
3,1981,64.34782608695652,0.597543651589289
4,1982,70.18478260869566,0.7327025378285336
5,1983,66.30434782608695,0.6428483061946223
6,1984,62.53804347826087,0.5556368460793556
7,1985,55.61413043478261,0.39530870728159273
8,1986,62.60326086956522,0.5571470012328669
9,1987,71.68478260869566,0.767436106359289
10,1988,81.72826086956522,1.0
11,1989,61.95652173913044,0.5421712959605484
12,1990,61.266304347826086,0.526188820585889
13,1991,64.91304347826087,0.6106316629197187
14,1992,55.60869565217392,0.3951828610188003
15,1993,51.67934782608695,0.30419601301975574
16,1994,58.47826086956522,0.46162968777328917
17,1995,53.130434782608695,0.33779696518537794
18,1996,53.16393442622951,0.3385726732970177
19,1997,41.58888888888889,0.07054424835179318
20,1998,59.90340909090909,0.4946300100483104
21,1999,54.98913043478261,0.38083638706044465
22,2000,59.05978260869565,0.4750952378920964
23,2001,56.47126436781609,0.4151562540836292
24,2002,62.77717391304348,0.5611740816422298
25,2003,67.0054347826087,0.659082474094867
26,2004,52.69021739130435,0.32760341789917813
27,2005,60.30769230769231,0.5039914759256264
28,2006,67.84782608695652,0.6785886448277184
29,2007,58.59239130434783,0.4642724592919335
30,2008,38.54237288135593,0.0
31,2009,54.07608695652174,0.3596942149112893
32,2010,61.45652173913044,0.5305934397836299
33,2011,67.2445652173913,0.6646197096577408
34,2012,69.70108695652173,0.7215022204399927
35,2013,66.04891304347827,0.6369335318433705
36,2014,50.82065217391305,0.2843123034985263
37,2015,53.91208791208791,0.3558967002120753
38,2016,55.79891304347826,0.3995874802165408
39,2017,62.70108695652174,0.5594122339631337
40,2018,64.73913043478261,0.6066045825103558
41,2019,59.67391304347826,0.4893158655876594
42,2020,60.994565217391305,0.5198965074462595
43,2021,73.30978260869566,0.8050641389342742
44,2022,62.86413043478261,0.5631876218469113
45,2023,59.10326086956522,0.47610200799443725
46,2024,64.72033898305085,0.6061694530593441
